Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Ticker_ADANIENT.NS,Ticker_ADANIPORTS.NS,Ticker_APOLLOHOSP.NS,Ticker_ASIANPAINT.NS,Ticker_AXISBANK.NS,Ticker_BAJAJ-AUTO.NS,Ticker_BAJAJFINSV.NS,Ticker_BAJFINANCE.NS,Ticker_BEL.NS,Ticker_BHARTIARTL.NS,Ticker_BPCL.NS,Ticker_CIPLA.NS,Ticker_COALINDIA.NS,Ticker_DRREDDY.NS,Ticker_EICHERMOT.NS,Ticker_GRASIM.NS,Ticker_HCLTECH.NS,Ticker_HDFCBANK.NS,Ticker_HDFCLIFE.NS,Ticker_HEROMOTOCO.NS,Ticker_HINDALCO.NS,Ticker_HINDUNILVR.NS,Ticker_ICICIBANK.NS,Ticker_INDUSINDBK.NS,Ticker_INFY.NS,Ticker_ITC.NS,Ticker_JIOFIN.NS,Ticker_JSWSTEEL.NS,Ticker_KOTAKBANK.NS,Ticker_LT.NS,Ticker_M&M.NS,Ticker_MARUTI.NS,Ticker_NESTLEIND.NS,Ticker_NTPC.NS,Ticker_ONGC.NS,Ticker_POWERGRID.NS,Ticker_RELIANCE.NS,Ticker_SBIN.NS,Ticker_SHRIRAMFIN.NS,Ticker_SUNPHARMA.NS,Ticker_TATACONSUM.NS,Ticker_TATASTEEL.NS,Ticker_TCS.NS,Ticker_TECHM.NS,Ticker_TITAN.NS,Ticker_TRENT.NS,Ticker_ULTRACEMCO.NS,Ticker_WIPRO.NS
02-09-2021,1571,1594.300049,1565.5,1570.550049,1567.052002,2171898,ADANIENT.NS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03-09-2021,1578.5,1581.400024,1551.550049,1565.550049,1562.06311,1687999,ADANIENT.NS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-09-2021,1572,1628.449951,1566.050049,1582,1578.476318,5562312,ADANIENT.NS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07-09-2021,1585.099976,1592.349976,1553,1558.099976,1554.629517,1651169,ADANIENT.NS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08-09-2021,1559.900024,1579,1538.25,1555.949951,1552.484253,2084219,ADANIENT.NS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-09-2021,1561.599976,1565.5,1535.050049,1545,1541.558594,1243149,ADANIENT.NS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-09-2021,1548,1557,1525.25,1532.449951,1529.036621,1759456,ADANIENT.NS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14-09-2021,1539.900024,1547.25,1497.050049,1513.199951,1509.82959,7143757,ADANIENT.NS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15-09-2021,1524,1545.599976,1496.900024,1516.800049,1513.421631,12834337,ADANIENT.NS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16-09-2021,1523,1535,1499.75,1503.199951,1499.851807,7616906,ADANIENT.NS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
